trj_id,avg_speed,osname,hour,day of week,day,month,is_Weekday,time_group,origin_lat,origin_lng,dest_lat,dest_lng,duration,euclid_dist,avg_bearing
10,9.21161887,android,11,1,9,4,1,day,1.3017751,103.7992566,1.3580012,103.8451597,1149,8070.127411,9.747857011
100,16.39867129,ios,2,1,16,4,1,late night,1.345079397,103.9384739,1.335206507,103.8422074,993,10757.58162,248.5401712
1000,16.51063375,ios,0,3,11,4,1,late night,1.435317453,103.7886447,1.368858232,103.861007,856,10923.16358,167.5883732
10001,14.94023963,android,11,2,17,4,1,day,1.3750792,103.8334124,1.3282667,103.7506372,1250,10571.90169,203.3531561
10004,22.05488068,ios,3,1,9,4,1,late night,1.433899347,103.7687053,1.392301139,103.9088458,851,16250.38009,148.1118182
10005,9.398128493,android,1,2,17,4,1,late night,1.3712447,103.8711877,1.3014539,103.8430522,1028,8366.951993,186.1361212
1001,21.40461634,ios,12,5,13,4,0,day,1.344444446,103.7268112,1.330114346,103.8754547,1101,16600.54498,108.4366449
10010,17.16847699,android,4,6,21,4,0,late night,1.3253365,103.7260362,1.4081849,103.8958394,2349,21003.94612,17.83912713
10011,20.86131285,android,8,5,20,4,0,morning peak,1.3228707,103.6971282,1.3754727,103.9594611,2093,29742.79598,40.46026211
10013,18.96100256,android,21,0,8,4,1,night,1.3632361,103.8427003,1.3481651,103.6992189,1127,16037.7331,247.852727
10018,9.574444247,android,3,2,17,4,1,late night,1.3369713,103.7064095,1.2881594,103.7942926,1507,11176.05145,152.8567721
1002,13.25722183,android,23,6,21,4,0,night,1.4411664,103.8012278,1.2802815,103.8171987,2269,17977.4642,178.3638783
10027,11.81308503,android,12,6,21,4,0,day,1.33896334,103.9439732,1.37029973,103.8454343,1499,11494.81244,328.7369884
1003,17.84257856,android,1,4,19,4,1,late night,1.44768,103.81296,1.33371,103.7441867,1398,14800.2662,188.1165414
10031,18.70986408,ios,22,6,21,4,0,night,1.378621949,103.8967744,1.391643173,103.7450079,1533,16932.76031,299.1592345
10037,16.10388474,ios,6,4,12,4,1,late night,1.365150521,103.8914633,1.339700287,103.9641407,919,8560.40867,146.2121629
10038,21.67014342,ios,3,2,17,4,1,late night,1.394746009,103.7467842,1.400784119,103.8914529,1085,16095.65519,72.31327223
1004,15.52358678,android,6,6,21,4,0,late night,1.3026909,103.899307,1.3563294,103.7677664,1390,15792.30338,333.251666
10042,21.3838061,ios,13,5,20,4,0,day,1.341679029,103.7490125,1.337863713,103.9788444,1377,25552.6791,87.71765805
1005,19.34845073,ios,6,2,10,4,1,late night,1.34778005,103.9237333,1.342178269,103.7783942,964,16168.52067,264.3079829
10050,19.02925041,ios,22,0,8,4,1,night,1.390600366,103.8756408,1.336333117,103.7577941,1229,14423.19202,207.4179918
1006,13.99462627,ios,8,1,16,4,1,morning peak,1.333058057,103.7381983,1.272629503,103.8420373,1130,13356.61795,152.6438839
10063,13.70625417,ios,9,3,18,4,1,morning peak,1.286810059,103.8470157,1.344273537,103.7541404,1569,12141.82209,340.3586078
10064,12.62678879,android,10,0,8,4,1,day,1.389848,103.762365,1.3274836,103.7200292,981,8380.756909,189.3227143
10067,15.54748421,ios,6,6,14,4,0,late night,1.31876905,103.7628874,1.247867498,103.8379484,1243,11479.69385,161.2177108
1007,21.34725385,android,2,4,19,4,1,late night,1.3503962,103.7072623,1.3420418,103.9819281,1658,30547.14211,90.05575306
10077,20.79170002,android,9,0,15,4,1,morning peak,1.3706353,103.9491106,1.3923934,103.7760343,1314,19391.13525,308.5524107
1008,21.0818396,ios,9,5,13,4,0,morning peak,1.345093524,103.7411779,1.342581853,103.9480623,1234,22999.86749,87.30147797
10087,21.22482684,android,9,0,8,4,1,morning peak,1.4012703,103.8809184,1.2884377,103.7937518,1054,15852.60019,192.267525
10088,16.65763876,android,22,0,8,4,1,night,1.3161006,103.76466,1.3810269,103.8581992,1202,12658.73011,15.01648191
1009,20.28026357,ios,5,1,16,4,1,late night,1.328924222,103.6794552,1.284899458,103.7994165,811,14205.74275,141.2439455
101,16.06622058,ios,5,0,15,4,1,late night,1.400510915,103.8962479,1.319246415,103.8519108,1005,10292.94164,187.7621464
1010,15.53321082,ios,7,6,14,4,0,late night,1.339902638,103.742574,1.261294172,103.82384,1171,12570.45689,162.3160523
10103,19.99476034,android,6,3,11,4,1,late night,1.2859984,103.8425987,1.4112144,103.8301626,948,13991.847,359.0935729
1011,13.6105314,ios,8,2,10,4,1,morning peak,1.32418112,103.881051,1.349455229,103.7929592,1074,10187.97984,323.4946213
10113,11.11361898,android,10,2,17,4,1,day,1.3214316,103.8529322,1.3909179,103.8461393,970,7763.336039,358.9972561
1012,13.71005282,android,11,3,18,4,1,day,1.2766923,103.8604204,1.3438385,103.7477588,1505,14580.79284,339.7203252
10120,13.09988147,android,15,1,16,4,1,day,1.4288169,103.8269056,1.376524,103.8963643,1300,9665.754298,165.5001255
1013,16.7182424,ios,4,3,11,4,1,late night,1.334992098,103.7449093,1.371612875,103.8703597,1349,14527.90191,32.99927709
10133,13.66346547,ios,11,0,15,4,1,day,1.325591491,103.9027998,1.332536275,103.8166396,1205,9609.077401,290.9947412
1014,18.73444784,android,7,1,9,4,1,late night,1.3766333,103.7732067,1.340515,103.9478617,1277,19826.32422,129.5065752
1015,18.64158086,android,11,4,19,4,1,day,1.3840956,103.7731119,1.3442791,103.9828767,1585,23734.7606,126.7871752
10153,18.88744395,ios,2,0,8,4,1,late night,1.320294402,103.9688446,1.31251222,103.8391043,1042,14448.59551,260.2093539
10154,17.74742783,android,3,0,8,4,1,late night,1.3371696,103.9793077,1.3109137,103.8359532,1127,16201.2619,237.1671995
1016,14.22174069,ios,3,5,13,4,0,late night,1.335850437,103.9334743,1.305895325,103.8381175,993,11111.37328,220.8839241
10161,10.97129146,ios,1,0,8,4,1,late night,1.319763687,103.9684701,1.295571398,103.882077,998,9973.597206,225.2961194
10164,27.95782851,ios,18,1,16,4,1,day,1.34302824,103.6925289,1.32730296,103.9090552,1031,24133.51524,101.1834357
